country,date,new_tests,tests_cumulative,jhu_ID,source,country_name_id
Serbia,2020-03-08,3,94,Serbia,https://www.zdravlje.gov.rs/vest/346221/informacije-o-novom-korona-virusu-na-dan-08032020-godine-do-18-casova-.php,Serbia
Serbia,2020-03-09,7,101,Serbia,https://www.zdravlje.gov.rs/vest/346241/informacije-o-novom-korona-virusu-na-dan-0903-u-18-casova.php,Serbia
Serbia,2020-03-10,16,117,Serbia,https://www.zdravlje.gov.rs/vest/346296/informacije-o-novom-korona-virusu-na-dan-10032020-u-18-casova.php,Serbia
Serbia,2020-03-11,34,151,Serbia,https://www.zdravlje.gov.rs/vest/346381/informacije-o-novom-korona-virusu-na-dan-1103-u-18-casova.php,Serbia
Serbia,2020-03-12,34,185,Serbia,https://www.zdravlje.gov.rs/vest/346436/informacije-o-novom-korona-virusu-na-dan-1203-u-18-casova.php,Serbia
Serbia,2020-03-13,54,239,Serbia,https://www.zdravlje.gov.rs/vest/346472/informacije-o-novom-korona-virusu-na-dan-1303-u-18-casova.php,Serbia
Serbia,2020-03-14,29,268,Serbia,https://www.zdravlje.gov.rs/vest/346482/informacije-o-novom-korona-virusu-na-dan-1403-u-20-casova-14-mart-2020.php,Serbia
Serbia,2020-03-15,15,283,Serbia,https://www.zdravlje.gov.rs/vest/346494/informacije-o-novom-korona-virusu-do-18-casova.php,Serbia
Serbia,2020-03-16,33,316,Serbia,https://www.zdravlje.gov.rs/vest/346550/informacije-o-novom-korona-1603-u-18-casova.php,Serbia
Serbia,2020-03-17,58,374,Serbia,https://www.zdravlje.gov.rs/vest/346579/informacije-o-novom-korona-1703-u-18-casova.php,Serbia
Serbia,2020-03-18,66,440,Serbia,https://www.zdravlje.gov.rs/vest/346642/informacije-o-novom-korona-1803-u-18-casova-.php,Serbia
Serbia,2020-03-19,46,486,Serbia,https://www.zdravlje.gov.rs/vest/346648/informacije-o-novom-korona-virusu-1903-u-8-casova-.php,Serbia
Serbia,2020-03-20,99,585,Serbia,https://www.zdravlje.gov.rs/vest/346679/informacije-o-novom-korona-virusu-2003-u-18-casova.php,Serbia
Serbia,2020-03-21,87,672,Serbia,https://www.zdravlje.gov.rs/vest/346689/informacije-o-novom-korona-virusu-2103-u-18-casova.php,Serbia
Serbia,2020-03-22,761,761,Serbia,https://www.zdravlje.gov.rs/vest/346700/informacije-o-novom-korona-virusu-2203-u-18-casova.php,Serbia
Serbia,2020-03-23,61,822,Serbia,https://www.zdravlje.gov.rs/vest/346731/informacije-o-novom-korona-virusu-2303-u-15-casova.php,Serbia
Serbia,2020-03-24,94,916,Serbia,https://www.zdravlje.gov.rs/vest/346735/informacije-o-novom-korona-virusu-2403-u-15-casova.php,Serbia
Serbia,2020-03-25,245,1161,Serbia,https://www.zdravlje.gov.rs/vest/346757/informacije-o-novom-korona-virusu-2503-u-15-casova.php,Serbia
Serbia,2020-03-26,295,1456,Serbia,https://www.zdravlje.gov.rs/vest/346757/informacije-o-novom-korona-virusu-2503-u-15-casova.php,Serbia
Serbia,2020-03-27,259,1715,Serbia,https://www.zdravlje.gov.rs/vest/346805/informacije-o-novom-korona-virusu-2703-u-15-casova.php,Serbia
Serbia,2020-03-28,371,2086,Serbia,https://www.zdravlje.gov.rs/vest/346811/informacije-o-novom-korona-virusu-2803-u-15-casova.php,Serbia
Serbia,2020-03-29,376,2462,Serbia,https://www.zdravlje.gov.rs/vest/346821/informacije-o-novom-korona-virusu-2903-u-15-casova.php,Serbia
Serbia,2020-03-30,622,3084,Serbia,https://www.zdravlje.gov.rs/vest/346827/informacije-o-novom-korona-virusu-3003-u-15-casova.php,Serbia
Serbia,2020-03-31,477,3561,Serbia,https://www.zdravlje.gov.rs/vest/346844/informacije-o-novom-korona-virusu-3103-u-15-casova.php,Serbia
