date,ja,en,count,regions,lat,lng
2020-03-26,兵庫,Hyogo Prefecture,120,4,35.03694444,134.8286111
2020-03-27,兵庫,Hyogo Prefecture,123,4,35.03694444,134.8286111
2020-03-28,兵庫,Hyogo Prefecture,126,4,35.03694444,134.8286111
2020-03-29,兵庫,Hyogo Prefecture,133,4,35.03694444,134.8286111
2020-03-30,兵庫,Hyogo Prefecture,137,4,35.03694444,134.8286111
2020-03-31,兵庫,Hyogo Prefecture,148,4,35.03694444,134.8286111
2020-04-01,兵庫,Hyogo Prefecture,162,4,35.03694444,134.8286111
2020-04-02,兵庫,Hyogo Prefecture,169,4,35.03694444,134.8286111
2020-04-03,兵庫,Hyogo Prefecture,175,4,35.03694444,134.8286111
2020-04-04,兵庫,Hyogo Prefecture,190,4,35.03694444,134.8286111
2020-04-05,兵庫,Hyogo Prefecture,203,4,35.03694444,134.8286111
2020-04-06,兵庫,Hyogo Prefecture,209,4,35.03694444,134.8286111
2020-04-07,兵庫,Hyogo Prefecture,229,4,35.03694444,134.8286111
2020-04-08,兵庫,Hyogo Prefecture,248,4,35.03694444,134.8286111
2020-04-09,兵庫,Hyogo Prefecture,287,4,35.03694444,134.8286111
2020-04-10,兵庫,Hyogo Prefecture,316,4,35.03694444,134.8286111
